Country,Region,Happiness Rank,HappinessScore,Lower Confidence Interval,UCI,UnemploymentRate,InflationRate,Economy,Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Afghanistan,Southern Asia,154,3.36,3.29,3.43,8.54,4.5,0.38,0.11,0.17,0.16,0.07,0.31,2.15
Austria,Western Europe,12,7.12,7.05,7.19,6.11,0.9,1.45,1.08,0.81,0.54,0.21,0.33,2.69
Bangladesh,Southern Asia,110,4.64,4.56,4.73,4.07,5.6,0.54,0.25,0.53,0.4,0.13,0.19,2.61
Belgium,Western Europe,18,6.93,6.86,7,8.26,1.6,1.43,1.05,0.82,0.51,0.26,0.24,2.61
Bhutan,Southern Asia,84,5.2,5.14,5.25,2.38,2.9,0.85,0.91,0.5,0.46,0.16,0.49,1.83
Cyprus,Western Europe,69,5.55,5.44,5.65,11.73,-0.3,1.32,0.71,0.85,0.3,0.05,0.28,2.04
Denmark,Western Europe,1,7.53,7.46,7.59,6.05,0.4,1.44,1.16,0.8,0.58,0.44,0.36,2.74
Finland,Western Europe,5,7.41,7.35,7.48,9,0.4,1.41,1.13,0.81,0.57,0.41,0.25,2.83
France,Western Europe,32,6.48,6.4,6.56,9.97,0.3,1.39,1.01,0.84,0.47,0.18,0.12,2.47
Germany,Western Europe,16,6.99,6.93,7.06,4.31,0.4,1.45,1.1,0.81,0.53,0.29,0.3,2.51
Greece,Western Europe,99,5.03,4.94,5.13,23.91,-0.2,1.25,0.75,0.8,0.06,0.04,0,2.13
Iceland,Western Europe,3,7.5,7.33,7.67,3.76,1.9,1.43,1.18,0.87,0.57,0.15,0.48,2.83
India,Southern Asia,118,4.4,4.35,4.46,3.46,5.6,0.74,0.29,0.45,0.4,0.09,0.25,2.18
Ireland,Western Europe,19,6.91,6.84,6.98,8.09,0.2,1.48,1.16,0.81,0.54,0.3,0.45,2.16
Italy,Western Europe,50,5.98,5.9,6.06,11.54,-0.2,1.35,1.04,0.85,0.19,0.03,0.17,2.35
Luxembourg,Western Europe,20,6.87,6.8,6.94,5.94,-0.1,1.7,1.04,0.85,0.55,0.35,0.28,2.11
Malta,Western Europe,30,6.49,6.41,6.57,5.32,1.3,1.31,1.1,0.8,0.55,0.18,0.56,1.99
Nepal,Southern Asia,107,4.79,4.7,4.89,3.21,9.1,0.45,0.7,0.5,0.37,0.07,0.38,2.33
Netherlands,Western Europe,7,7.34,7.28,7.39,6.17,0.2,1.46,1.03,0.81,0.55,0.3,0.47,2.71
Norway,Western Europe,4,7.5,7.42,7.58,4.81,3.5,1.58,1.13,0.8,0.6,0.36,0.38,2.66
Pakistan,Southern Asia,92,5.13,5.04,5.23,5.87,3.7,0.69,0.26,0.4,0.15,0.14,0.31,3.18
Portugal,Western Europe,94,5.12,5.03,5.22,11.16,0.8,1.28,0.94,0.79,0.45,0.02,0.12,1.53
Spain,Western Europe,37,6.36,6.29,6.43,19.45,-0.3,1.34,1.13,0.88,0.38,0.06,0.18,2.4
Sri Lanka,Southern Asia,117,4.42,4.32,4.51,4.98,4.3,0.97,0.85,0.62,0.51,0.08,0.47,0.92
Sweden,Western Europe,10,7.29,7.23,7.36,7.09,0.8,1.45,1.09,0.83,0.58,0.41,0.38,2.55
Switzerland,Western Europe,2,7.51,7.43,7.59,4.58,-0.4,1.53,1.15,0.86,0.59,0.41,0.28,2.69
United Kingdom,Western Europe,23,6.73,6.65,6.8,4.85,0.5,1.4,1.09,0.81,0.5,0.27,0.5,2.15
